20120702;4;1639;208;28638;28649;230030;;3618;226412;813766436;813996466;
20120703;4;1640;208;28652;28671;170955;;15639;155316;813996466;814167421;
20120704;4;1641;208;28674;28705;397933;;17937;379996;814167421;814565354;
20120705;4;1642;208;28708;28729;307176;;7212;299964;814565354;814872530;
20120706;4;1643;208;28732;28747;281008;;20265;260743;814872530;815153538;
20120707;4;1644;208;28750;28791;668060;;40182;627878;815153538;815821598;
20120709;4;1645;209;28794;28817;266546;21180;7715;237651;815821598;816088144;
20120710;4;1646;210;28820;28845;301610;20617;14169;266824;816088144;816389754;
20120711;4;1647;210;28848;28870;335250;;8256;326994;816389754;816725004;
20120712;4;1648;210;28873;28902;382020;;23468;358552;816725004;817107024;
20120713;4;1649;210;28905;28931;419465;;35083;384382;817107024;817526489;
20120714;4;1650;210;28934;28974;589095;;19206;569889;817526489;818115584;
20120716;4;1651;210;28977;29000;266794;;21606;245188;818115584;818382378;
20120717;4;1652;210;29003;29024;304797;;8999;295798;818382378;818687175;
20120718;4;1653;211;29027;29067;623385;28460;37162;557763;818687175;819310560;
20120719;4;1654;211;29070;29093;417973;;14771;403202;819310560;819728533;
20120720;4;1655;211;29096;29124;384630;;47677;336953;819728533;820113163;
20120721;4;1656;211;29127;29160;706541;;55177;651364;820113163;820819704;
20120723;4;1657;211;29163;29191;302311;;6177;296134;820819704;821122015;
20120724;4;1658;211;29194;29223;703060;;33388;669672;821122015;821825075;
20120725;4;1659;211;29226;29245;264510;;11828;252682;821825075;822089585;
20120727;4;1660;211;29250;29287;503239;;16170;487069;822089585;822592824;
20120728;4;1661;211;29290;29333;723987;;43078;680909;822592824;823316811;
20120730;4;1662;211;29336;29354;251630;;15721;235909;823316811;823568441;
20120731;4;1663;211;29357;29382;310651;;15890;294761;823568441;823879092;