20120601;4;1614;201;27758;27794;455558;;20700;434858;802282017;802737575;
20120602;4;1615;201;28797;28850;821766;;55426;766340;802737575;803559341;
20120604;4;1616;201;27853;27876;351696;;40698;310998;803559341;803911037;
20120605;4;1617;201;27879;27915;600611;;27732;572879;803911037;804511648;
20120606;4;1618;202;27918;27942;405454;22300;20822;362332;804511648;804917102;
20120608;4;1619;202;27945;28015;1115720;;42179;1073541;804917102;806032822;
20120609;4;1620;202;28018;28064;626813;;38028;588785;806032822;806659635;
20120611;4;1621;203;28067;28112;672657;11270;37899;623488;806659635;807332292;
20120612;4;1622;203;28115;28161;670164;;39009;631155;807332292;808002456;
20120613;4;1623;203;28164;28193;400885;;13655;387230;808002456;808403341;
20120614;4;1624;204;28196;28225;388280;10910;13881;363489;808403341;808791621;
20120615;4;1625;204;28228;28258;429973;;24953;405020;808791621;809221594;
20120616;4;1626;204;28261;28285;325849;;15865;309984;809221594;809547443;
20120618;4;1627;204;28288;28304;244962;;39841;205121;809547443;809792405;
20120619;4;1628;204;28307;28330;344787;;8033;336754;809792405;810137192;
20120620;4;1629;205;28333;28364;433974;9480;17849;406645;810137192;810571166;
20120621;4;1630;206;28367;28409;546600;19820;24712;502068;810571166;811117766;
20120622;4;1631;207;28412;28442;416967;14150;7236;395581;811117766;811534733;
20120623;4;1632;207;28445;28476;450031;;15176;434855;811534733;811984764;
20120625;4;1633;207;28479;28494;153871;;8596;145275;811984764;812138635;
20120626;4;1634;207;28497;28533;409228;;13029;396199;812138635;812547863;
20120627;4;1635;207;28536;28552;321760;;9291;312469;812547863;812869623;
20120628;4;1636;207;28555;28573;129591;;11687;117904;812869623;812999214;
20120629;4;1637;207;28576;28600;209815;;7982;201833;812999214;813209029;
20120630;4;1638;208;28603;28635;557407;45620;32236;479551;813209029;813766436;